time (s)	charge (C)	time (s)	current (A)
9.350e+002	-3.284e-001	9.350e+002	2.642e-004
9.400e+002	-3.296e-001	9.400e+002	2.510e-004
9.450e+002	-3.310e-001	9.450e+002	2.784e-004
9.500e+002	-3.324e-001	9.500e+002	2.808e-004
9.550e+002	-3.338e-001	9.550e+002	2.697e-004
9.600e+002	-3.351e-001	9.600e+002	2.606e-004
9.650e+002	-3.364e-001	9.650e+002	2.604e-004
9.700e+002	-3.377e-001	9.700e+002	2.630e-004
9.750e+002	-3.390e-001	9.750e+002	2.632e-004
9.800e+002	-3.403e-001	9.800e+002	2.640e-004
9.850e+002	-3.416e-001	9.850e+002	2.612e-004
9.900e+002	-3.429e-001	9.900e+002	2.523e-004
9.950e+002	-3.442e-001	9.950e+002	2.544e-004
1.000e+003	-3.455e-001	1.000e+003	2.548e-004
1.005e+003	-3.467e-001	1.005e+003	2.589e-004
1.010e+003	-3.480e-001	1.010e+003	2.440e-004
1.015e+003	-3.492e-001	1.015e+003	2.532e-004
1.020e+003	-3.506e-001	1.020e+003	2.631e-004
1.025e+003	-3.518e-001	1.025e+003	2.524e-004
1.030e+003	-3.531e-001	1.030e+003	2.525e-004
1.035e+003	-3.543e-001	1.035e+003	2.485e-004
1.040e+003	-3.556e-001	1.040e+003	2.545e-004
1.045e+003	-3.568e-001	1.045e+003	2.484e-004
1.050e+003	-3.580e-001	1.050e+003	2.392e-004
1.055e+003	-3.593e-001	1.055e+003	2.468e-004
1.060e+003	-3.605e-001	1.060e+003	2.428e-004
1.065e+003	-3.617e-001	1.065e+003	2.396e-004
1.070e+003	-3.629e-001	1.070e+003	2.501e-004
1.075e+003	-3.642e-001	1.075e+003	2.487e-004
1.080e+003	-3.654e-001	1.080e+003	2.450e-004
1.085e+003	-3.666e-001	1.085e+003	2.336e-004
1.090e+003	-3.678e-001	1.090e+003	2.380e-004
1.095e+003	-3.690e-001	1.095e+003	2.397e-004
1.100e+003	-3.701e-001	1.100e+003	2.332e-004
1.105e+003	-3.713e-001	1.105e+003	2.421e-004
1.110e+003	-3.725e-001	1.110e+003	2.428e-004
1.115e+003	-3.738e-001	1.115e+003	2.552e-004
1.120e+003	-3.750e-001	1.120e+003	2.435e-004
1.125e+003	-3.762e-001	1.125e+003	2.312e-004
1.130e+003	-3.774e-001	1.130e+003	2.458e-004
1.135e+003	-3.787e-001	1.135e+003	2.484e-004
1.140e+003	-3.798e-001	1.140e+003	2.334e-004
1.145e+003	-3.810e-001	1.145e+003	2.415e-004
1.150e+003	-3.823e-001	1.150e+003	2.472e-004
1.155e+003	-3.834e-001	1.155e+003	2.344e-004
1.160e+003	-3.846e-001	1.160e+003	2.372e-004
1.165e+003	-3.859e-001	1.165e+003	2.451e-004
1.170e+003	-3.871e-001	1.170e+003	2.420e-004
1.175e+003	-3.883e-001	1.175e+003	2.482e-004
1.180e+003	-3.895e-001	1.180e+003	2.304e-004
1.185e+003	-3.907e-001	1.185e+003	2.406e-004
1.190e+003	-3.919e-001	1.190e+003	2.491e-004
1.195e+003	-3.931e-001	1.195e+003	2.283e-004
1.200e+003	-3.942e-001	1.200e+003	2.337e-004
1.205e+003	-3.954e-001	1.205e+003	2.433e-004
1.210e+003	-3.966e-001	1.210e+003	2.371e-004
1.215e+003	-3.978e-001	1.215e+003	2.344e-004
1.220e+003	-3.989e-001	1.220e+003	2.299e-004
1.225e+003	-4.002e-001	1.225e+003	2.418e-004
1.230e+003	-4.013e-001	1.230e+003	2.260e-004
1.235e+003	-4.024e-001	1.235e+003	2.325e-004
1.240e+003	-4.036e-001	1.240e+003	2.303e-004
1.245e+003	-4.048e-001	1.245e+003	2.344e-004
1.250e+003	-4.059e-001	1.250e+003	2.340e-004
1.255e+003	-4.071e-001	1.255e+003	2.234e-004
1.260e+003	-4.083e-001	1.260e+003	2.414e-004
1.265e+003	-4.094e-001	1.265e+003	2.244e-004
1.270e+003	-4.105e-001	1.270e+003	2.277e-004
1.275e+003	-4.117e-001	1.275e+003	2.253e-004
1.280e+003	-4.128e-001	1.280e+003	2.250e-004
1.285e+003	-4.139e-001	1.285e+003	2.245e-004
1.290e+003	-4.150e-001	1.290e+003	2.253e-004
1.295e+003	-4.161e-001	1.295e+003	2.244e-004
1.300e+003	-4.173e-001	1.300e+003	2.277e-004
1.305e+003	-4.184e-001	1.305e+003	2.271e-004
1.310e+003	-4.195e-001	1.310e+003	2.216e-004
1.315e+003	-4.206e-001	1.315e+003	2.198e-004
1.320e+003	-4.218e-001	1.320e+003	2.248e-004
1.325e+003	-4.229e-001	1.325e+003	2.258e-004
1.330e+003	-4.240e-001	1.330e+003	2.244e-004
1.335e+003	-4.251e-001	1.335e+003	2.192e-004
1.340e+003	-4.262e-001	1.340e+003	2.256e-004
1.345e+003	-4.274e-001	1.345e+003	2.309e-004
1.350e+003	-4.285e-001	1.350e+003	2.208e-004
1.355e+003	-4.296e-001	1.355e+003	2.149e-004
1.360e+003	-4.307e-001	1.360e+003	2.277e-004
1.365e+003	-4.318e-001	1.365e+003	2.263e-004
1.370e+003	-4.329e-001	1.370e+003	2.228e-004
1.375e+003	-4.341e-001	1.375e+003	2.229e-004
1.380e+003	-4.352e-001	1.380e+003	2.223e-004
1.385e+003	-4.363e-001	1.385e+003	2.222e-004
1.390e+003	-4.374e-001	1.390e+003	2.181e-004
1.395e+003	-4.385e-001	1.395e+003	2.313e-004
1.400e+003	-4.396e-001	1.400e+003	2.190e-004
1.405e+003	-4.407e-001	1.405e+003	2.246e-004
1.410e+003	-4.419e-001	1.410e+003	2.222e-004
1.415e+003	-4.430e-001	1.415e+003	2.250e-004
1.420e+003	-4.441e-001	1.420e+003	2.219e-004
1.425e+003	-4.452e-001	1.425e+003	2.240e-004
1.430e+003	-4.463e-001	1.430e+003	2.091e-004
1.435e+003	-4.473e-001	1.435e+003	2.179e-004
1.440e+003	-4.485e-001	1.440e+003	2.226e-004
1.445e+003	-4.496e-001	1.445e+003	2.219e-004
1.450e+003	-4.506e-001	1.450e+003	2.136e-004
1.455e+003	-4.517e-001	1.455e+003	2.158e-004
1.460e+003	-4.529e-001	1.460e+003	2.268e-004
1.465e+003	-4.539e-001	1.465e+003	2.170e-004
1.470e+003	-4.550e-001	1.470e+003	2.124e-004
1.475e+003	-4.561e-001	1.475e+003	2.167e-004
1.480e+003	-4.571e-001	1.480e+003	2.125e-004
1.485e+003	-4.582e-001	1.485e+003	2.136e-004
1.490e+003	-4.593e-001	1.490e+003	2.180e-004
1.495e+003	-4.603e-001	1.495e+003	2.042e-004
1.500e+003	-4.614e-001	1.500e+003	2.184e-004
1.505e+003	-4.625e-001	1.505e+003	2.188e-004
1.510e+003	-4.636e-001	1.510e+003	2.112e-004
1.515e+003	-4.646e-001	1.515e+003	2.126e-004
1.520e+003	-4.657e-001	1.520e+003	2.205e-004
1.525e+003	-4.668e-001	1.525e+003	2.147e-004
1.530e+003	-4.679e-001	1.530e+003	2.116e-004
1.535e+003	-4.689e-001	1.535e+003	2.093e-004
1.540e+003	-4.700e-001	1.540e+003	2.260e-004
1.545e+003	-4.711e-001	1.545e+003	2.055e-004
1.550e+003	-4.721e-001	1.550e+003	2.106e-004
1.555e+003	-4.732e-001	1.555e+003	2.131e-004
1.560e+003	-4.742e-001	1.560e+003	2.075e-004
1.565e+003	-4.753e-001	1.565e+003	2.155e-004
1.570e+003	-4.763e-001	1.570e+003	2.070e-004
1.575e+003	-4.774e-001	1.575e+003	2.199e-004
1.580e+003	-4.785e-001	1.580e+003	2.068e-004
1.585e+003	-4.795e-001	1.585e+003	2.125e-004
1.590e+003	-4.806e-001	1.590e+003	2.123e-004
1.595e+003	-4.816e-001	1.595e+003	2.046e-004
1.600e+003	-4.827e-001	1.600e+003	2.174e-004
1.605e+003	-4.838e-001	1.605e+003	2.202e-004
1.610e+003	-4.848e-001	1.610e+003	2.010e-004
1.615e+003	-4.859e-001	1.615e+003	2.080e-004
1.620e+003	-4.869e-001	1.620e+003	2.149e-004
1.625e+003	-4.880e-001	1.625e+003	2.072e-004
1.630e+003	-4.890e-001	1.630e+003	2.046e-004
1.635e+003	-4.900e-001	1.635e+003	2.065e-004
1.640e+003	-4.911e-001	1.640e+003	2.164e-004
1.645e+003	-4.921e-001	1.645e+003	2.096e-004
1.650e+003	-4.932e-001	1.650e+003	2.102e-004
1.655e+003	-4.942e-001	1.655e+003	2.018e-004
1.660e+003	-4.952e-001	1.660e+003	2.023e-004
1.665e+003	-4.963e-001	1.665e+003	2.064e-004
1.670e+003	-4.973e-001	1.670e+003	2.124e-004
1.675e+003	-4.983e-001	1.675e+003	1.997e-004
1.680e+003	-4.994e-001	1.680e+003	2.141e-004
1.685e+003	-5.004e-001	1.685e+003	2.045e-004
1.690e+003	-5.014e-001	1.690e+003	1.950e-004
1.695e+003	-5.024e-001	1.695e+003	2.007e-004
1.700e+003	-5.034e-001	1.700e+003	2.061e-004
1.705e+003	-5.044e-001	1.705e+003	2.044e-004
1.710e+003	-5.055e-001	1.710e+003	2.093e-004
1.715e+003	-5.065e-001	1.715e+003	1.997e-004
1.720e+003	-5.075e-001	1.720e+003	1.986e-004
1.725e+003	-5.085e-001	1.725e+003	2.030e-004
1.730e+003	-5.095e-001	1.730e+003	2.007e-004
1.735e+003	-5.105e-001	1.735e+003	1.994e-004
1.740e+003	-5.115e-001	1.740e+003	1.996e-004
1.745e+003	-5.125e-001	1.745e+003	2.102e-004
1.750e+003	-5.136e-001	1.750e+003	2.066e-004
1.755e+003	-5.146e-001	1.755e+003	2.054e-004
1.760e+003	-5.156e-001	1.760e+003	2.015e-004
1.765e+003	-5.166e-001	1.765e+003	1.974e-004
1.770e+003	-5.176e-001	1.770e+003	2.050e-004
1.775e+003	-5.186e-001	1.775e+003	1.994e-004
1.780e+003	-5.196e-001	1.780e+003	2.038e-004
1.785e+003	-5.207e-001	1.785e+003	2.076e-004
1.790e+003	-5.217e-001	1.790e+003	2.010e-004
1.795e+003	-5.227e-001	1.795e+003	2.017e-004
1.800e+003	-5.237e-001	1.800e+003	2.010e-004
1.805e+003	-5.247e-001	1.805e+003	2.088e-004
1.810e+003	-5.258e-001	1.810e+003	2.039e-004
1.815e+003	-5.268e-001	1.815e+003	2.062e-004
1.820e+003	-5.278e-001	1.820e+003	1.934e-004
1.825e+003	-5.288e-001	1.825e+003	2.111e-004
1.830e+003	-5.298e-001	1.830e+003	2.077e-004
1.835e+003	-5.308e-001	1.835e+003	1.955e-004
1.840e+003	-5.318e-001	1.840e+003	1.993e-004
1.845e+003	-5.329e-001	1.845e+003	2.075e-004
1.850e+003	-5.339e-001	1.850e+003	2.040e-004
1.855e+003	-5.349e-001	1.855e+003	2.056e-004
1.860e+003	-5.359e-001	1.860e+003	2.018e-004
1.865e+003	-5.369e-001	1.865e+003	1.909e-004
1.870e+003	-5.379e-001	1.870e+003	2.001e-004
1.875e+003	-5.389e-001	1.875e+003	2.087e-004
1.880e+003	-5.399e-001	1.880e+003	1.998e-004
1.885e+003	-5.409e-001	1.885e+003	1.968e-004
1.890e+003	-5.419e-001	1.890e+003	1.959e-004
1.895e+003	-5.429e-001	1.895e+003	2.012e-004
1.900e+003	-5.439e-001	1.900e+003	2.066e-004
1.905e+003	-5.449e-001	1.905e+003	1.958e-004
1.910e+003	-5.459e-001	1.910e+003	1.938e-004
1.915e+003	-5.469e-001	1.915e+003	1.973e-004
1.920e+003	-5.478e-001	1.920e+003	1.907e-004
1.925e+003	-5.488e-001	1.925e+003	1.964e-004
1.930e+003	-5.498e-001	1.930e+003	1.983e-004
1.935e+003	-5.508e-001	1.935e+003	1.996e-004
1.940e+003	-5.518e-001	1.940e+003	1.996e-004
1.945e+003	-5.528e-001	1.945e+003	1.995e-004
1.950e+003	-5.537e-001	1.950e+003	1.937e-004
1.955e+003	-5.547e-001	1.955e+003	1.951e-004
1.960e+003	-5.557e-001	1.960e+003	1.976e-004
1.965e+003	-5.567e-001	1.965e+003	1.992e-004
1.970e+003	-5.577e-001	1.970e+003	1.897e-004
1.975e+003	-5.586e-001	1.975e+003	1.938e-004
1.980e+003	-5.596e-001	1.980e+003	1.978e-004
1.985e+003	-5.606e-001	1.985e+003	1.951e-004
1.990e+003	-5.616e-001	1.990e+003	1.964e-004
1.995e+003	-5.626e-001	1.995e+003	2.003e-004
2.000e+003	-5.636e-001	2.000e+003	1.986e-004
2.005e+003	-5.645e-001	2.005e+003	1.969e-004
2.010e+003	-5.655e-001	2.010e+003	1.973e-004
2.015e+003	-5.665e-001	2.015e+003	1.909e-004
